"region","departamento","municipio","vigencia","tipoentidad","entidad","sector","fuentefinanciacion","valorcomprometido","valorobligado","valorpagado"
"Andina","Santander","San José de Miranda","2023","Municipio","San José de MirandaSantander","Transporte","SGP - Sistema General de Participaciones","32480000.00000000","32473532.00000000","32473532.00000000"
"Caribe","Bolívar","Cartagena de Indias","2022","Municipio","Cartagena de IndiasBolívar","Cultura","Propios de las entidades territoriales","130000000.00000000","130000000.00000000","87282000.00000000"
"Andina","Antioquia","Medellín","2020","Municipio","MedellínAntioquia","Educación","Propios de las entidades territoriales","4832339371.00000000","4832339371.00000000","4832339371.00000000"
"Andina","Cundinamarca","Fúquene","2024","Municipio","FúqueneCundinamarca","Educación","Propios de las entidades territoriales","0.00000000","0.00000000","0.00000000"
"Andina","Santander","San Joaquín","2023","Municipio","San JoaquínSantander","Educación","SGP - Sistema General de Participaciones","95940000.00000000","95940000.00000000","95940000.00000000"
"Amazonas","Vaupés","Todo el Depto","2014","Entidades Presupuesto Nacional - PGN","Ministerio de las Culturas las Artes y los Saberes - Cultura","Cultura","PGN - Presupuesto General de la Nación","53632700.34000000","51543113.30000000","49736494.07000000"
"Caribe","Magdalena","El Piñón","2017","Municipio","El PiñónMagdalena","Transporte","SGR - Sistema General de Regalías","0.00000000","0.00000000","179537893.00000000"
"Caribe","Córdoba","Puerto Libertador","2017","Municipio","Puerto LibertadorCórdoba","Transporte","SGR - Sistema General de Regalías","0.00000000","0.00000000","1477453033.00000000"
"Andina","Santander","Todo el Depto","2017","Entidades Presupuesto Nacional - PGN","Ministerio de las Culturas las Artes y los Saberes - Cultura","Cultura","PGN - Presupuesto General de la Nación","101611766.00000000","101370436.00000000","101370436.00000000"
"Andina","Risaralda","Todo el Depto","2023","Entidades Presupuesto Nacional - PGN","Fondo Rotatorio de la Registraduria - Registraduría","Registraduría","PGN - Presupuesto General de la Nación","9361050.00000000","0.00000000","0.00000000"
