"region","departamento","municipio","vigencia","tipoentidad","entidad","sector","fuentefinanciacion","valorcomprometido","valorobligado","valorpagado"
"Amazonas","Caquetá","Solano","2023","Entidades Presupuesto Nacional - PGN","Unidad Administrativa Especial de la Aeronautica Civil - Transporte","Transporte","PGN - Presupuesto General de la Nación","0.00000000","0.00000000","0.00000000"
"Orinoquía","Arauca","Todo el Depto","2022","Entidades Presupuesto Nacional - PGN","Consejo Superior de la Judicatura - Rama Judicial","Rama Judicial","PGN - Presupuesto General de la Nación","51990302.00000000","0.00000000","0.00000000"
"Nacional","Nacional","Nacional","2014","Entidades Presupuesto Nacional - PGN","Unidad Administrativa Especial de la Aeronautica Civil - Transporte","Transporte","PGN - Presupuesto General de la Nación","5738296579.00000000","5610523194.00000000","4897131098.00000000"
"Andina","Antioquia","Abriaquí","2021","Municipio","AbriaquíAntioquia","Gobierno Territorial","SGP - Sistema General de Participaciones","0.00000000","0.00000000","0.00000000"
"Caribe","Magdalena","Santa Marta","2023","Entidades Presupuesto Nacional - PGN","Ministerio del Trabajo - Trabajo","Trabajo","PGN - Presupuesto General de la Nación","366324671.25000000","144518700.36000000","144518700.36000000"
"Orinoquía","Casanare","Todo el Depto","2015","Entidades Presupuesto Nacional - PGN","Registraduria Nacional del Estado Civil - Registraduría","Registraduría","PGN - Presupuesto General de la Nación","5000000.00000000","5000000.00000000","4500000.00000000"
"Caribe","La Guajira","Todo el Depto","2017","Entidades Presupuesto Nacional - PGN","Instituto Nacional de Vias - Transporte","Transporte","PGN - Presupuesto General de la Nación","18757383713.00000000","10763309607.77000000","6548623081.59000000"
"Andina","Risaralda","Todo el Depto","2022","Entidades Presupuesto Nacional - PGN","Fondo Rotatorio de la Registraduria - Registraduría","Registraduría","PGN - Presupuesto General de la Nación","260744019.00000000","227557355.00000000","222090843.00000000"
"Andina","Tolima","Anzoátegui","2023","Municipio","AnzoáteguiTolima","Educación","SGP - Sistema General de Participaciones","0.00000000","0.00000000","0.00000000"
"Nacional","Nacional","Nacional","2010","Entidades Presupuesto Nacional - PGN","Servicio Nacional de Aprendizaje - SENA - Trabajo","Trabajo","PGN - Presupuesto General de la Nación","73332160.00000000","73332160.00000000","73332160.00000000"
"Amazonas","Caquetá","Todo el Depto","2014","Entidades Presupuesto Nacional - PGN","Servicio Nacional de Aprendizaje - SENA - Trabajo","Trabajo","PGN - Presupuesto General de la Nación","785335521.49000000","785335521.49000000","783815986.43000000"
"Andina","Risaralda","Pereira","2024","Municipio","PereiraRisaralda","Gobierno Territorial","SGP - Sistema General de Participaciones","35400000.00000000","35400000.00000000","35400000.00000000"
"Andina","Boyacá","Samacá","2023","Municipio","SamacáBoyacá","Educación","Propios de las entidades territoriales","0.00000000","0.00000000","499957454.31000000"
"Andina","Santander","Todo el Depto","2013","Entidades Presupuesto Nacional - PGN","Instituto Nacional de Vias - Transporte","Transporte","PGN - Presupuesto General de la Nación","35849471081.17000000","8646029688.81000000","5035544066.81000000"
"Pacífico","Nariño","Todo el Depto","2022","Entidades Presupuesto Nacional - PGN","Instituto Nacional de Vias - Transporte","Transporte","PGN - Presupuesto General de la Nación","5000000000.00000000","5000000000.00000000","0.00000000"
"Andina","Cundinamarca","Facatativá","2018","Privada","Ministerio Educacion Nacional - Educación","Educación","Propios de los privados","10000000.00000000","10000000.00000000","10000000.00000000"
"Andina","Norte de Santander","Cucutilla","2022","Municipio","CucutillaNorte de Santander","Transporte","SGP - Sistema General de Participaciones","311191052.00000000","311191052.00000000","311191052.00000000"
"Andina","Quindio","Todo el Depto","2017","Entidades Presupuesto Nacional - PGN","Consejo Superior de la Judicatura - Rama Judicial","Rama Judicial","PGN - Presupuesto General de la Nación","844211069.00000000","844211069.00000000","612418039.00000000"
"Pacífico","Valle del Cauca","Bolívar","2025","Departamento","Valle del Cauca","Educación","Propios de las entidades territoriales","99704698.00000000","84325504.00000000","11825504.00000000"
"Pacífico","Cauca","Toribío","2013","Municipio","ToribíoCauca","Transporte","SGR - Sistema General de Regalías","0.00000000","0.00000000","250000000.00000000"
"Andina","Tolima","Icononzo","2024","Municipio","IcononzoTolima","Gobierno Territorial","Propios de las entidades territoriales","0.00000000","0.00000000","0.00000000"
"Andina","Boyacá","Samacá","2024","Entidades Presupuesto Nacional - PGN","Ministerio del Trabajo - Trabajo","Trabajo","PGN - Presupuesto General de la Nación","4212000.00000000","4212000.00000000","4212000.00000000"
"Nacional","Nacional","Nacional","2020","Entidades Presupuesto Nacional - PGN","Instituto Nacional de Vias - Transporte","Transporte","PGN - Presupuesto General de la Nación","4642232858.39000000","4553745983.39000000","4553745983.39000000"
"Caribe","Córdoba","Todo el Depto","2016","Entidades Presupuesto Nacional - PGN","Ministerio del Interior - Interior","Interior","PGN - Presupuesto General de la Nación","11342075.00000000","11342075.00000000","11342075.00000000"
"Andina","Santander","Lebrija","2024","Departamento","Santander","Educación","Propios de las entidades territoriales","0.00000000","0.00000000","0.00000000"
"Caribe","Córdoba","Todo el Depto","2015","Entidades Presupuesto Nacional - PGN","Ministerio Educacion Nacional - Educación","Educación","PGN - Presupuesto General de la Nación","58230098.76000000","57278013.30000000","53472685.48000000"
"Andina","Norte de Santander","Mutiscua","2025","Entidades Presupuesto Nacional - PGN","Ministerio del Trabajo - Trabajo","Trabajo","PGN - Presupuesto General de la Nación","0.00000000","0.00000000","0.00000000"
"Pacífico","Cauca","Todo el Depto","2023","Entidades Presupuesto Nacional - PGN","Servicio Nacional de Aprendizaje - SENA - Trabajo","Trabajo","PGN - Presupuesto General de la Nación","633338132.19000000","321118002.00000000","371042481.34000000"
"Pacífico","Nariño","Pasto","2021","Municipio","PastoNariño","Educación","SGP - Sistema General de Participaciones","59800000.00000000","34270000.00000000","34270000.00000000"
"Andina","Antioquia","Medellín","2023","Privada","Iupascualbravo(reservas)","Cultura","Propios de los privados","44814319.00000000","34842800.42000000","34842800.42000000"
"Amazonas","Caquetá","Todo el Depto","2014","Entidades Presupuesto Nacional - PGN","Instituto Nacional de Vias - Transporte","Transporte","PGN - Presupuesto General de la Nación","570000000.00000000","0.00000000","0.00000000"
"Nacional","Nacional","Nacional","2008","Entidades Presupuesto Nacional - PGN","Colegio Mayor de Bolivar - Educación","Educación","PGN - Presupuesto General de la Nación","93453660.00000000","11656144.00000000","11656144.00000000"
"Andina","Norte de Santander","Todo el Depto","2019","Entidades Presupuesto Nacional - PGN","Servicio Nacional de Aprendizaje - SENA - Trabajo","Trabajo","PGN - Presupuesto General de la Nación","1803554708.92000000","1731102911.92000000","1727866150.00000000"
"Caribe","La Guajira","Todo el Depto","2019","Departamento","La Guajira","Educación","Sin Definir","0.00000000","0.00000000","93424643.00000000"
"Nacional","Nacional","Nacional","2019","Entidades Presupuesto Nacional - PGN","Fondo Rotatorio del Ministerio de Relaciones Exteriores - Relaciones Exteriores","Relaciones Exteriores","PGN - Presupuesto General de la Nación","230000000.00000000","230000000.00000000","230000000.00000000"
"Pacífico","Cauca","Suárez","2024","Entidades Presupuesto Nacional - PGN","Ministerio de las Culturas las Artes y los Saberes - Cultura","Cultura","PGN - Presupuesto General de la Nación","281363297.39000000","136467365.37000000","136652075.69000000"
"Pacífico","Cauca","Piendamó - Tunía","2025","Entidades Presupuesto Nacional - PGN","Instituto Nacional de Vias - Transporte","Transporte","PGN - Presupuesto General de la Nación","0.00000000","0.00000000","0.00000000"
"Caribe","Bolívar","Todo el Depto","2012","Entidades Presupuesto Nacional - PGN","Servicio Nacional de Aprendizaje - SENA - Trabajo","Trabajo","PGN - Presupuesto General de la Nación","37260887862.62000000","36650765217.13000000","36066704921.27000000"
"Andina","Risaralda","Pereira","2024","Municipio","PereiraRisaralda","Gobierno Territorial","Propios de las entidades territoriales","104300000.00000000","43480000.00000000","43480000.00000000"
"Andina","Santander","Barbosa","2020","Municipio","BarbosaSantander","Hacienda","SGP - Sistema General de Participaciones","0.00000000","0.00000000","0.00000000"
"Orinoquía","Meta","Villavicencio","2021","Municipio","VillavicencioMeta","Empleo Público","SGP - Sistema General de Participaciones","10000000.00000000","10000000.00000000","10000000.00000000"
"Andina","Santander","Puerto Wilches","2023","Municipio","Puerto WilchesSantander","Transporte","SGR - Sistema General de Regalías","0.00000000","0.00000000","388977495.30000000"
"Pacífico","Chocó","Lloró","2024","Entidades Presupuesto Nacional - PGN","Fondo Rotatorio de la Registraduria - Registraduría","Registraduría","PGN - Presupuesto General de la Nación","15037946.00000000","9528970.00000000","7298883.00000000"
"Andina","Huila","Rivera","2022","Municipio","RiveraHuila","Cultura","Propios de las entidades territoriales","17000000.00000000","17000000.00000000","17000000.00000000"
"Andina","Boyacá","Todo el Depto","2018","Entidades Presupuesto Nacional - PGN","Ministerio del Interior - Interior","Interior","PGN - Presupuesto General de la Nación","48303902.00000000","48303902.00000000","48303902.00000000"
"Nacional","Nacional","Nacional","2008","Entidades Presupuesto Nacional - PGN","Ministerio Educacion Nacional - Educación","Educación","PGN - Presupuesto General de la Nación","3397265383.00000000","2856348025.00000000","2276089200.00000000"
"Andina","Santander","El Carmen de Chucurí","2022","Municipio","sin Entidad","Cultura","SGP - Sistema General de Participaciones","0.00000000","0.00000000","0.00000000"
"Insular","Archipiélago de San Andrés","Todo el Depto","2015","Entidades Presupuesto Nacional - PGN","Ministerio Educacion Nacional - Educación","Educación","PGN - Presupuesto General de la Nación","121212121.00000000","121096419.00000000","116096418.00000000"
"Pacífico","Valle del Cauca","Ansermanuevo","2025","Municipio","AnsermanuevoValle del Cauca","Gobierno Territorial","SGP - Sistema General de Participaciones","0.00000000","0.00000000","0.00000000"
"Andina","Risaralda","Todo el Depto","2019","Entidades Presupuesto Nacional - PGN","Instituto Nacional de Medicina Legal y Ciencias Forenses - Fiscalía","Fiscalía","PGN - Presupuesto General de la Nación","26755000.00000000","20576478.00000000","20576478.00000000"
"Andina","Boyacá","Tunja","2025","Departamento","Boyacá","Cultura","Propios de las entidades territoriales","0.00000000","0.00000000","0.00000000"
"Andina","Antioquia","Remedios","2012","Entidades Presupuesto Nacional - PGN","Unidad Administrativa Especial de la Aeronautica Civil - Transporte","Transporte","PGN - Presupuesto General de la Nación","903600.00000000","903600.00000000","903600.00000000"
"Pacífico","Nariño","Linares","2022","Municipio","LinaresNariño","Transporte","SGP - Sistema General de Participaciones","0.00000000","0.00000000","0.00000000"
"Caribe","Córdoba","Todo el Depto","2022","Entidades Presupuesto Nacional - PGN","Consejo Superior de la Judicatura - Rama Judicial","Rama Judicial","PGN - Presupuesto General de la Nación","0.00000000","0.00000000","0.00000000"
"Andina","Antioquia","Medellín","2019","Municipio","MedellínAntioquia","Cultura","Propios de las entidades territoriales","2493287828.00000000","2374341087.00000000","2374341086.00000000"
"Caribe","La Guajira","Todo el Depto","2011","Entidades Presupuesto Nacional - PGN","Ministerio de las Culturas las Artes y los Saberes - Cultura","Cultura","PGN - Presupuesto General de la Nación","41100821.00000000","41100821.00000000","41100821.00000000"
"Andina","Antioquia","Medellín","2022","Municipio","MedellínAntioquia","Gobierno Territorial","Propios de las entidades territoriales","808374392.00000000","802666718.00000000","726708854.00000000"
"Andina","Boyacá","Miraflores","2022","Municipio","MirafloresBoyacá","Educación","Propios de las entidades territoriales","0.00000000","0.00000000","0.00000000"
"Andina","Santander","Galán","2023","Municipio","GalánSantander","Transporte","SGP - Sistema General de Participaciones","0.00000000","0.00000000","0.00000000"
"Nacional","Nacional","Nacional","2010","Entidades Presupuesto Nacional - PGN","Instituto Nacional de Vias - Transporte","Transporte","PGN - Presupuesto General de la Nación","178539555588.00000000","89971059878.00000000","18466623011.00000000"
"Caribe","La Guajira","Todo el Depto","2023","Entidades Presupuesto Nacional - PGN","Consejo Superior de la Judicatura - Rama Judicial","Rama Judicial","PGN - Presupuesto General de la Nación","7611836890.00000000","518789895.92000000","518789895.92000000"
"Andina","Boyacá","Sogamoso","2023","Municipio","SogamosoBoyacá","Gobierno Territorial","SGP - Sistema General de Participaciones","41533584.00000000","41533584.00000000","36612884.00000000"
"Caribe","Magdalena","Algarrobo","2017","Municipio","AlgarroboMagdalena","Transporte","SGR - Sistema General de Regalías","0.00000000","0.00000000","3154161819.00000000"
"Orinoquía","Vichada","Todo el Depto","2021","Entidades Presupuesto Nacional - PGN","Ministerio del Interior - Interior","Interior","PGN - Presupuesto General de la Nación","24888268.00000000","22477703.00000000","22477703.00000000"
"Caribe","La Guajira","Distracción","2023","Municipio","DistracciónLa Guajira","Transporte","SGR - Sistema General de Regalías","0.00000000","0.00000000","661981426.00000000"
"Andina","Norte de Santander","San José de Cúcuta","2022","Municipio","San José de CúcutaNorte de Santander","Educación","Propios de las entidades territoriales","59100000.00000000","59100000.00000000","59100000.00000000"
"Pacífico","Valle del Cauca","Sevilla","2023","Municipio","SevillaValle del Cauca","Educación","Propios de las entidades territoriales","84820000.00000000","84820000.00000000","84820000.00000000"
"Caribe","Atlántico","Sabanalarga","2015","Municipio","SabanalargaAtlántico","Transporte","SGR - Sistema General de Regalías","0.00000000","0.00000000","329669735.55000000"
"Andina","Santander","Todo el Depto","2011","Entidades Presupuesto Nacional - PGN","Ministerio Educacion Nacional - Educación","Educación","PGN - Presupuesto General de la Nación","331500000.00000000","331500000.00000000","219000000.00000000"
"Pacífico","Nariño","El Charco","2017","Municipio","El CharcoNariño","Transporte","SGR - Sistema General de Regalías","0.00000000","0.00000000","1465733169.00000000"
"Caribe","Bolívar","María La Baja","2019","Municipio","María La BajaBolívar","Transporte","SGR - Sistema General de Regalías","0.00000000","0.00000000","678116910.20000000"
"Amazonas","Caquetá","Todo el Depto","2020","Entidades Presupuesto Nacional - PGN","Ministerio del Interior - Interior","Interior","PGN - Presupuesto General de la Nación","225000000.00000000","225000000.00000000","225000000.00000000"
"Andina","Boyacá","Todo el Depto","2013","Entidades Presupuesto Nacional - PGN","Ministerio de las Culturas las Artes y los Saberes - Cultura","Cultura","PGN - Presupuesto General de la Nación","163713997.00000000","160941438.50000000","159463855.00000000"
"Andina","Caldas","Todo el Depto","2009","Entidades Presupuesto Nacional - PGN","Ministerio Educacion Nacional - Educación","Educación","PGN - Presupuesto General de la Nación","474560000.00000000","314560000.00000000","314560000.00000000"
"Andina","Santander","Enciso","2025","Municipio","EncisoSantander","Transporte","SGR - Sistema General de Regalías","0.00000000","0.00000000","0.00000000"
"Pacífico","Valle del Cauca","Santiago de Cali","2022","Municipio","Santiago de CaliValle del Cauca","Gobierno Territorial","Propios de las entidades territoriales","487922149.00000000","454226149.00000000","454226149.00000000"
"Caribe","Magdalena","Todo el Depto","2014","Entidades Presupuesto Nacional - PGN","Instituto Nacional de Medicina Legal y Ciencias Forenses - Fiscalía","Fiscalía","PGN - Presupuesto General de la Nación","2587627913.10000000","1158336841.55000000","75857770.00000000"
"Andina","Antioquia","Todo el Depto","2020","Entidades Presupuesto Nacional - PGN","Consejo Superior de la Judicatura - Rama Judicial","Rama Judicial","PGN - Presupuesto General de la Nación","1465619190.00000000","0.00000000","0.00000000"
"Andina","Boyacá","Todo el Depto","2019","Entidades Presupuesto Nacional - PGN","Ministerio Educacion Nacional - Educación","Educación","PGN - Presupuesto General de la Nación","3464716227.00000000","2974383805.00000000","2972637713.00000000"
"Andina","Boyacá","Briceño","2025","Municipio","BriceñoBoyacá","Educación","SGP - Sistema General de Participaciones","0.00000000","0.00000000","0.00000000"
"Pacífico","Cauca","Todo el Depto","2024","Entidades Presupuesto Nacional - PGN","Ministerio del Interior - Interior","Interior","PGN - Presupuesto General de la Nación","38500000000.00000000","800000000.00000000","800000000.00000000"
"Pacífico","Chocó","Condoto","2023","Municipio","CondotoChocó","Transporte","SGR - Sistema General de Regalías","0.00000000","0.00000000","819000000.00000000"
"Orinoquía","Meta","Todo el Depto","2017","Entidades Presupuesto Nacional - PGN","Direccion Nacional de Bomberos - Interior","Interior","PGN - Presupuesto General de la Nación","1055736231.01000000","739753301.17000000","719022877.44000000"
"Caribe","Magdalena","Todo el Depto","2018","Entidades Presupuesto Nacional - PGN","Ministerio Educacion Nacional - Educación","Educación","PGN - Presupuesto General de la Nación","8214684665.00000000","7424220052.00000000","7419902684.00000000"
"Andina","Antioquia","Todo el Depto","2020","Entidades Presupuesto Nacional - PGN","Agencia Nacional de Infraestructura - ANI - Transporte","Transporte","PGN - Presupuesto General de la Nación","191797855945.00000000","191797855945.00000000","191797855945.00000000"
"Andina","Norte de Santander","Todo el Depto","2008","Entidades Presupuesto Nacional - PGN","Unidad Administrativa Especial de la Aeronautica Civil - Transporte","Transporte","PGN - Presupuesto General de la Nación","1212254983.00000000","983210389.00000000","983210389.00000000"
"Andina","Cundinamarca","Subachoque","2020","Municipio","SubachoqueCundinamarca","Transporte","Propios de las entidades territoriales","0.00000000","0.00000000","0.00000000"
"Orinoquía","Casanare","Tauramena","2017","Municipio","TauramenaCasanare","Educación","SGR - Sistema General de Regalías","0.00000000","0.00000000","2764487811.00000000"
"Andina","Boyacá","Tota","2024","Municipio","TotaBoyacá","Transporte","Propios de las entidades territoriales","230000000.00000000","230000000.00000000","230000000.00000000"
"Andina","Tolima","Todo el Depto","2021","Entidades Presupuesto Nacional - PGN","Instituto Nacional de Vias - Transporte","Transporte","PGN - Presupuesto General de la Nación","666843431.00000000","403534689.00000000","403534689.00000000"
"Andina","Antioquia","El Carmen de Viboral","2025","Municipio","El Carmen de ViboralAntioquia","Información Estadística","Propios de las entidades territoriales","0.00000000","0.00000000","0.00000000"
"Pacífico","Valle del Cauca","Todo el Depto","2016","Entidades Presupuesto Nacional - PGN","Escuela Superior de Administracion Publica - ESAP - Empleo Público","Empleo Público","PGN - Presupuesto General de la Nación","12947264846.34000000","12947264846.34000000","11484526969.00000000"
"Andina","Antioquia","Todo el Depto","2010","Entidades Presupuesto Nacional - PGN","Fondo Nacional de Regalias - Planeación","Planeación","PGN - Presupuesto General de la Nación","139507205.00000000","5580301.00000000","5580301.00000000"
"Caribe","Cesar","Tamalameque","2025","Departamento","Cesar","Gobierno Territorial","Propios de las entidades territoriales","0.00000000","0.00000000","0.00000000"
"Andina","Tolima","Todo el Depto","2024","Departamento","Tolima","Gobierno Territorial","Propios de las entidades territoriales","132090000.00000000","65450000.00000000","65450000.00000000"
"Andina","Caldas","Pensilvania","2022","Municipio","PensilvaniaCaldas","Transporte","Propios de las entidades territoriales","0.00000000","0.00000000","0.00000000"
"Andina","Santander","Bucaramanga","2017","Municipio","BucaramangaSantander","Rama Judicial","Propios de las entidades territoriales","0.00000000","0.00000000","0.00000000"
"Andina","Norte de Santander","Bucarasica","2022","Municipio","BucarasicaNorte de Santander","Transporte","Propios de las entidades territoriales","378914000.00000000","285364043.00000000","270591743.00000000"
"Caribe","Sucre","Caimito","2023","Municipio","CaimitoSucre","Educación","Propios de las entidades territoriales","0.00000000","0.00000000","0.00000000"
"Andina","Tolima","Anzoátegui","2024","Municipio","AnzoáteguiTolima","Cultura","Propios de las entidades territoriales","0.00000000","0.00000000","0.00000000"
"Caribe","Atlántico","Barranquilla","2022","Municipio","BarranquillaAtlántico","Gobierno Territorial","Propios de las entidades territoriales","4350000000.00000000","4350000000.00000000","1686967809.00000000"
"Andina","Bogotá, D.C.","Bogotá, D.C.","2015","Entidades Presupuesto Nacional - PGN","Escuela Superior de Administracion Publica - ESAP - Empleo Público","Empleo Público","PGN - Presupuesto General de la Nación","382146624.00000000","381029392.00000000","380122732.00000000"
"Andina","Bogotá, D.C.","Bogotá, D.C.","2010","Entidades Presupuesto Nacional - PGN","Consejo Superior de la Judicatura - Rama Judicial","Rama Judicial","PGN - Presupuesto General de la Nación","350000000.00000000","192206479.00000000","183470494.00000000"
"Andina","Risaralda","La Celia","2024","Municipio","La CeliaRisaralda","Información Estadística","SGP - Sistema General de Participaciones","226605497.00000000","217019208.00000000","214590637.00000000"
"Andina","Santander","Palmas del Socorro","2019","Municipio","Palmas del SocorroSantander","Transporte","SGR - Sistema General de Regalías","0.00000000","0.00000000","314469774.57000000"
"Andina","Antioquia","Medellín","2022","Municipio","MedellínAntioquia","Trabajo","Propios de las entidades territoriales","1604095239.00000000","1548555206.00000000","1548555206.00000000"
"Amazonas","Caquetá","Todo el Depto","2014","Entidades Presupuesto Nacional - PGN","Ministerio de las Culturas las Artes y los Saberes - Cultura","Cultura","PGN - Presupuesto General de la Nación","39000000.00000000","38363453.00000000","35239663.00000000"
"Andina","Antioquia","Todo el Depto","2020","Entidades Presupuesto Nacional - PGN","Ministerio del Trabajo - Trabajo","Trabajo","PGN - Presupuesto General de la Nación","25683317776.00000000","21683559904.00000000","21683559904.00000000"
"Caribe","La Guajira","Dibulla","2021","Municipio","DibullaLa Guajira","Educación","SGR - Sistema General de Regalías","0.00000000","0.00000000","2223543636.81000000"
"Andina","Antioquia","La Estrella","2022","Empresa pública","Áreametropolitanadelvalledeaburrá.","Cultura","Propios de las EICE y SEM","13141911260.00000000","10535654194.00000000","10535654194.00000000"
"Andina","Boyacá","Soatá","2021","Municipio","SoatáBoyacá","Gobierno Territorial","Propios de las entidades territoriales","36900000.00000000","33367000.00000000","33367000.00000000"
"Amazonas","Caquetá","Todo el Depto","2010","Entidades Presupuesto Nacional - PGN","Servicio Nacional de Aprendizaje - SENA - Trabajo","Trabajo","PGN - Presupuesto General de la Nación","43052393.55000000","40738182.43000000","39757568.88000000"
"Andina","Tolima","Todo el Depto","2012","Entidades Presupuesto Nacional - PGN","Consejo Superior de la Judicatura - Rama Judicial","Rama Judicial","PGN - Presupuesto General de la Nación","0.00000000","0.00000000","0.00000000"
"Pacífico","Cauca","Santa Rosa","2023","Municipio","Santa RosaCauca","Educación","SGP - Sistema General de Participaciones","68479092.00000000","68479092.00000000","68479092.00000000"
"Andina","Huila","Aipe","2021","Municipio","AipeHuila","Transporte","Propios de las entidades territoriales","24000000.00000000","24000000.00000000","24000000.00000000"
"Andina","Bogotá, D.C.","Bogotá, D.C.","2021","Entidades Presupuesto Nacional - PGN","Instituto Nacional de Vias - Transporte","Transporte","PGN - Presupuesto General de la Nación","397940.00000000","0.00000000","0.00000000"
"Caribe","Bolívar","Tiquisio","2023","Municipio","TiquisioBolívar","Transporte","SGP - Sistema General de Participaciones","0.00000000","0.00000000","0.00000000"
"Orinoquía","Meta","Cumaral","2017","Municipio","CumaralMeta","Interior","SGP - Sistema General de Participaciones","0.00000000","0.00000000","0.00000000"
"Andina","Antioquia","San Juan de Urabá","2019","Municipio","San Juan de UrabáAntioquia","Transporte","Propios de las entidades territoriales","0.00000000","0.00000000","141782001.00000000"
"Amazonas","Putumayo","Todo el Depto","2023","Entidades Presupuesto Nacional - PGN","Ministerio del Interior - Interior","Interior","PGN - Presupuesto General de la Nación","1579877.00000000","1579875.00000000","1579875.00000000"
"Andina","Cundinamarca","Manta","2021","Municipio","MantaCundinamarca","Gobierno Territorial","Propios de las entidades territoriales","0.00000000","0.00000000","0.00000000"
"Caribe","Sucre","Colosó","2022","Municipio","ColosóSucre","Educación","SGP - Sistema General de Participaciones","278054438.00000000","278054438.00000000","278054438.00000000"
"Orinoquía","Arauca","Cravo Norte","2022","Municipio","sin Entidad","Gobierno Territorial","SGP - Sistema General de Participaciones","0.00000000","0.00000000","0.00000000"
"Nacional","Nacional","Nacional","2008","Entidades Presupuesto Nacional - PGN","Instituto Nacional de Vias - Transporte","Transporte","PGN - Presupuesto General de la Nación","11170094331.00000000","11149596196.00000000","10675358826.00000000"
"Andina","Cundinamarca","Villeta","2021","Municipio","VilletaCundinamarca","Educación","Propios de las entidades territoriales","0.00000000","0.00000000","0.00000000"
"Pacífico","Nariño","Pasto","2023","Municipio","PastoNariño","Gobierno Territorial","Propios de las entidades territoriales","536400000.00000000","536400000.00000000","536400000.00000000"
"Caribe","La Guajira","Todo el Depto","2022","Departamento","sin Entidad","Cultura","Propios de las entidades territoriales","0.00000000","0.00000000","0.00000000"
"Andina","Santander","Chima","2022","Municipio","ChimaSantander","Gobierno Territorial","Propios de las entidades territoriales","11250876.00000000","9395841.00000000","9395841.00000000"
"Nacional","Nacional","Nacional","2020","Entidades Presupuesto Nacional - PGN","Ministerio de las Culturas las Artes y los Saberes - Cultura","Cultura","PGN - Presupuesto General de la Nación","0.00000000","0.00000000","0.00000000"
"Pacífico","Nariño","San Andrés de Tumaco","2010","Entidades Presupuesto Nacional - PGN","Unidad Administrativa Especial de la Aeronautica Civil - Transporte","Transporte","PGN - Presupuesto General de la Nación","14806503.00000000","0.00000000","0.00000000"
"Andina","Cundinamarca","Nimaima","2018","Municipio","NimaimaCundinamarca","Planeación","Propios de las entidades territoriales","0.00000000","0.00000000","0.00000000"
"Andina","Antioquia","Sonsón","2025","Entidades Presupuesto Nacional - PGN","Ministerio del Trabajo - Trabajo","Trabajo","PGN - Presupuesto General de la Nación","5760000.00000000","1440000.00000000","1440000.00000000"
"Caribe","Sucre","Todo el Depto","2015","Entidades Presupuesto Nacional - PGN","Instituto Nacional de Medicina Legal y Ciencias Forenses - Fiscalía","Fiscalía","PGN - Presupuesto General de la Nación","3000000.00000000","3000000.00000000","0.00000000"
"Pacífico","Cauca","Páez","2022","Municipio",,"Gobierno Territorial","SGP - Sistema General de Participaciones","0.00000000","0.00000000","0.00000000"
"Andina","Huila","Todo el Depto","2015","Entidades Presupuesto Nacional - PGN","Unidad Administrativa Especial de la Aeronautica Civil - Transporte","Transporte","PGN - Presupuesto General de la Nación","1903024185.00000000","1867258350.00000000","1865592864.00000000"
"Andina","Cundinamarca","Paratebueno","2022","Municipio","ParatebuenoCundinamarca","Gobierno Territorial","Propios de las entidades territoriales","14033764.00000000","14033764.00000000","4680000.00000000"
"Pacífico","Valle del Cauca","Jamundí","2021","Municipio","JamundíValle del Cauca","Información Estadística","SGP - Sistema General de Participaciones","70000000.00000000","70000000.00000000","61330000.00000000"
"Amazonas","Putumayo","Colón","2019","Municipio","ColónPutumayo","Interior","Propios de las entidades territoriales","0.00000000","0.00000000","0.00000000"
"Caribe","Cesar","Valledupar","2017","Municipio","ValleduparCesar","Interior","Propios de las entidades territoriales","0.00000000","0.00000000","0.00000000"
"Andina","Cundinamarca","Mosquera","2022","Municipio","MosqueraCundinamarca","Educación","Propios de las entidades territoriales","813731914.19000000","813731914.19000000","625486391.49000000"
"Andina","Boyacá","Susacón","2022","Municipio","SusacónBoyacá","Educación","SGP - Sistema General de Participaciones","0.00000000","0.00000000","0.00000000"
"Andina","Cundinamarca","Todo el Depto","2023","Entidades Presupuesto Nacional - PGN","Departamento Nacional de Planeacion - DNP - Planeación","Planeación","PGN - Presupuesto General de la Nación","167689113136.00000000","16452583478.00000000","16452583478.00000000"
"Nacional","Nacional","Nacional","2021","Entidades Presupuesto Nacional - PGN","Unidad Administrativa Especial de la Aeronautica Civil - Transporte","Transporte","PGN - Presupuesto General de la Nación","2055873304.00000000","2046060662.00000000","2046060662.00000000"
"Nacional","Nacional","Nacional","2014","Entidades Presupuesto Nacional - PGN","Unidad Administrativa Especial de Organizaciones Solidarias - Trabajo","Trabajo","PGN - Presupuesto General de la Nación","294271599.00000000","294271599.00000000","294271599.00000000"
"Andina","Bogotá, D.C.","Bogotá, D.C.","2022","Entidades Presupuesto Nacional - PGN","Instituto Caro y Cuervo - Cultura","Cultura","PGN - Presupuesto General de la Nación","2490760064.40000000","2380764523.34000000","2342808201.74000000"
"Andina","Cundinamarca","Todo el Depto","2023","Departamento","Cundinamarca","Transporte","Propios de las entidades territoriales","100000000.00000000","96649499.00000000","96649499.00000000"
"Pacífico","Nariño","San Andrés de Tumaco","2023","Municipio","San Andrés de TumacoNariño","Gobierno Territorial","Propios de las entidades territoriales","0.00000000","0.00000000","0.00000000"
"Nacional","Nacional","Nacional","2016","Entidades Presupuesto Nacional - PGN","Departamento Administrativo de la Funcion Publica - Empleo Público","Empleo Público","PGN - Presupuesto General de la Nación","1214400658.00000000","1214400658.00000000","983235408.00000000"
